review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date
8670D52E15E00043AE7DE4C01CC2FE06,B9BF720BEB4AB3728760088589C62129,4,RECOMENDO,APARELHO EFICIENTE NO SITE A MARCA DO APARELHO ESTA IMPRESSO COMO 3DESINFECTOR E AO CHEGAR ESTA COM OUTRO NOMEATUALIZAR COM A MARCA CORRETA UMA VEZ QUE E O MESMO APARELHO,22/05/2018
3948B09F7C818E2D86C9A546758B2335,E51478E7E277A83743B6F9991DBFA3FB,5,SUPER RECOMENDO,VENDEDOR CONFIAVEL PRODUTO OK E ENTREGA ANTES DO PRAZO,23/05/2018
373CBEECEA8286A2B66C97B1B157EC46,583174FBE37D3D5F0D6661BE3AAD1786,1,NAO CHEGOU MEU PRODUTO,PESSIMO,15/08/2018
D21BBC789670EAB777D27372AB9094CC,4FC44D78867142C627497B60A7E0228A,5,OTIMO,LOJA NOTA 10,10/07/2018
C92CDD7DD544A01AA35137F901669CDF,37E7875CDCE5A9E5B3A692971F370151,4,MUITO BOM,RECEBI EXATAMENTE O QUE ESPERAVA AS DEMAIS ENCOMENDAS DE OUTROS VENDEDORES ATRASARAM MAS ESTA CHEGOU NO PRAZO,07/06/2018
08C9D79EC0EBA1D252E3F52F14B8E6A9,E029F708DF3CC108B3264558771605C6,5,BOM,RECOMENDO,13/06/2018
B193FF3C9F32A01F3A0D9AE26B94D244,E2E6EE1ED2D7F2F36B05D234983BD7A0,5,MARAVILHOSO,TO COMPLETAMENTE APAIXONADA LOJA SUPER RESPONSAVEL E CONFIAVEL,10/08/2018
86C5CFA7FCBDE303F704B60A78CED7D6,A6456E781CB962CC3F412B04DE4FED7B,5,ENTREGA PERFEITA,MUITO BOM MUITO CHEIROSO,13/06/2018
500C05500AA275953129F49799EE5C73,8A9424899AAC432D80D8E580932B5EE9,5,MT LINDO,MT LINDO,25/07/2018
109B5CE2DD11BB8460EFF3B86DA6FEFC,25362FBF6AAC4B01A28DEE1E076ACC26,5,OTIMO PRODUTO,RECOMENDO O VENDEDOR,17/08/2018
