seller_id,seller_city,seller_state
3442F8959A84DEA7EE197C632CB2DF15,CAMPINAS,SP
D1B65FC7DEBC3361EA86B5F14C68D2E2,MOGI GUACU,SP
CE3AD9DE960102D0677A81F5D0BB7B2D,RIO DE JANEIRO,RJ
C0F3EEA2E14555B6FAEEA3DD58C1B1C3,SAO PAULO,SP
51A04A8A6BDCB23DECCC82B0B80742CF,BRAGANCA PAULISTA,SP
C240C4061717AC1806AE6EE72BE3533B,RIO DE JANEIRO,RJ
E49C26C3EDFA46D227D5121A6B6E4D37,BREJAO,PE
1B938A7EC6AC5061A66A3766E0E75F90,PENAPOLIS,SP
768A86E36AD6AAE3D03EE3C6433D61DF,SAO PAULO,SP
CCC4BBB5F32A6AB2B7066A4130F114E3,CURITIBA,PR
8CB7C5DDF41F4D506EBA76E9A4702A25,ANAPOLIS,GO
A7A9B880C49781DA66651CCF4BA9AC38,ITIRAPINA,SP
8BD0F31CF0A614C658F6763BD02DEA69,SAO PAULO,SP
05A48CC8859962767935AB9087417FBB,SAO PAULO,SP
7B8E8EC35BAD4B0EF7E3963650B0A87B,TUBARAO,SC
1444C08E64D55FB3C25F0F09C07FFCF2,LAURO DE FREITAS,BA
166E8F1381E09651983C38B1F6F91C11,IMBITUBA,SC
E38DB885400CD35C71DFD162F2C1DBCF,BRASILIA,DF
D2E753BB80B7D4FAA77483ED00EDC8CA,PORTO SEGURO,BA
F9EC7093DF3A7B346B7BCF7864069CA3,SAO PAULO,SP
4E6015589B781ADAA5CE7F1892D06BB1,GUARUJA,SP
4CF490A58259286ADA5BA8525BA9E84A,TABATINGA,SP
F7496D659CA9FDAF323C0AAE84176632,SAO PAULO,SP
2FF97219CB8622EAF3CD89B7D9C09824,SALTO,SP
8BD0E3ABDA539B9479C4B44A691BE1EC,TRES DE MAIO,RS
2A1348E9ADDC1AF5AAA619B1A3679D6B,BELO HORIZONTE,MG
2078FE5066350E7D220C0AD3A3BBC6C1,ARAPONGAS,PR
116CCB1A1604BC88E4D234A8C23F33DE,SAO BERNARDO DO CAMPO,SP
430315B7BB4B6E4B3C978F9DFA9B0558,SAO PAULO,SP
406822777A0B9EB5C50E442DD4CD3EC5,TATUI,SP
4DBD95A08B31EDE5C82D3F861CB1CE1A,CURITIBA,PR
E9E446D01BD10A97A8FFCFC4A3A20CB2,SAO PAULO,SP
D52CBCE9845184537284A23C3BC3DA0E,GAROPABA,SC
D9A84E1403DE8DA0C3AA531D6D108BA6,SAO PAULO,SP
9C690CEACD5C66731BF443EA810195CB,CAMANDUCAIA,MG
1F9AB4708F3056EDE07124AAD39A2554,TUPA,SP
1961C3E1272BFECEB05D0B78B5BBFDAF,GUARULHOS,SP
D3E7D37C0DF9AEF383F3F2A15B0DDDFB,SAO JOSE DOS PINHAIS,PR
EC2E006556300A79A5A91E4876AB3A56,SAO PAULO,SP
B2A6D334E2833ACEA353624840E25A0E,SAO PAULO,SP
D3674F271C91F824F82D24D92011F669,BRASILIA,DF
768DE2A4FC06AACECB9A586CCC30746A,BRASILIA,DF
A81466620E46A6970B22EF40379FDFC9,SAO LUDGERO,SC
5C030029B5916FED0986310385EC9009,SAO JOSE,SC
C0F783394E37CD9C9D7F5F81141450FA,PIRACICABA,SP
C353F8FC0CE8344999F17D578EB69A5E,PORTO ALEGRE,RS
8444E55C1F13CD5C179851E5CA5EBD00,CONGONHAL,MG
28A26EBCE31D5918B181EDE016FD693B,BELO HORIZONTE,MG
41AB63A91B8B264E8C8780368BF1DD5B,BELO HORIZONTE,MG
8759E7AEDD644F487315E5860962F162,SANTO ANDRE,SP
E546117ED9CAFBC40239C0C78635C584,SAO PAULO,SP
D71D863E5EF30D94E440C11BE17DCD8F,OSASCO,SP
0C7533C71DF861EC58AD7FF999ED0E8D,VALINHOS,SP
EF990A83BBEA832F36EBE81376335AA8,JOINVILLE,SC
41E0FA5761C886A630994A55C12087E7,GUARUJA,SP
0747D5BB69F0586CC869D8AF4C50F93E,SAQUAREMA,RJ
7D294CF9A6A69DC6A0C3E540FFF0E039,BARRA VELHA,SC
C89CF7C468A48AF70AADA384E722F9E2,PETROPOLIS,RJ
B7BA853E9551F4558440881FD3E5C815,SANTO ANTONIO DA PATRULHA,RS
13C2ED7698B3CA92DAD49E849219DA59,PONTA GROSSA,PR
CBBD5AE8F53DE5F5097CD8217B529E24,SANTANA DE PARNAIBA,SP
02ECC2A19303F05E59CE133FD923FFF7,SANTO ANDRE,SP
C013E57C075A06E5B5C48EE03C525719,SAO CARLOS,SP
55F7A3319D80F7FDF078B8F03E6725FE,OSASCO,SP
2D50D6282F8AA2257819A77BFAA0EFE0,IBITINGA,SP
B7E1750C1157341D2ABD0251E07C186B,SAO PAULO,SP
B90E891671CFFD9557F33A97DC523645,SAO JOSE DOS PINHAIS,PR
A416B6A846A11724393025641D4EDD5E,SAO PAULO,SP
7E93A43EF30C4F03F38B393420BC753A,BARUERI,SP
5206CC4BC2297C833E6061C49BF9C43F,OSASCO,SP
F410C8873029FCC3809B9DF6D0B28914,CAXIAS DO SUL,SP
EF506C96320ABEEDFB894C34DB06F478,SAO PAULO,SP
A13AAF2D2886AB9FB30FB9A920160B8F,JOINVILLE,SC
7299E27ED73D2AD986DE7F7C77D919FA,ARAGUARI,MG
8A9260F2B0340411D6D2A56BCF4F7378,CONTAGEM,MG
DEDCAB67899479E4EA5DCC4EBA47F587,JARAGUA DO SUL,SC
B2479F944E1B90CF8A5DE1BBFDE284D6,IBITINGA,SP
7722B1DF1B0E383E000397B2C11E3E19,SAO BERNARDO DO CAMPO,SP
731EF20C231D9A7103A425E83FD91271,LAGES SC,SC
78813699FFAC347FE27DBA345A5F1551,BENTO GONCALVES,RS
3296662B1331DEA51E744505065AE889,CATANDUVA,SP
411F3B52D857390502EE4E4D5CEABC2D,RIBEIRAO PIRES,SP
BBA3293D6F5D5AF2F415E004E8B93AE3,SAO PAULO,SP
4E7C18B98D84E05CBAE3FF0FF03846C2,JABOTICABAL,SP
B56906F7FD1696E043F1BCCE164C487B,ECHAPORA,SP
D650B663C3B5F6FB392B6326366EFA9A,COTIA,SP
669AE81880E08F269A64487CFB287169,RIO DO SUL,SC
C2D70CE2C5D0A2EB75E78668236E6DC8,SAO PAULO,SP
674207551483FEC113276B67B0D871FF,SOROCABA,SP
ABE42C5D03695B4257B5C6CBF4E6784E,RIO DE JANEIRO,RJ
1996942DC085D7773BA77A529B163CD0,PRADOPOLIS,SP
79B93A308A97792CF53AC75F46DA00B5,RIO DE JANEIRO,RJ
7CF4EA70955B00D6B3C22542598E2715,SAO PAULO,SP
63FFCB71394DD8EA3872ED9FFDA17C74,ITABORAI,RJ
83353A83FD769DFAFA4F21A72B15E3E5,SAO PAULO,SP
CDA598C48D7C614BC1CAD7D8FF6F0010,MIRASSOL,SP
D4910F1CDCFDABD48D6B316E395D4A23,SANTO ANDRE,SP
709E16E2B25C7474D980076C6BFC4806,BIRIGUI,SP
9DC79DD988AC42F4D56C340D7048420A,SAO PAULO,SP
276677B5D08786D5DCE7C2149DCCE48B,BELO HORIZONTE,MG
9C4D31C7E46AB03A43FC06E3142AFD4E,RIO DE JANEIRO,RJ
512D298AC2A96D1931B6BD30AA21F61D,RIO DE JANEIRO,RJ
422BE4CC81A457FDB46F47EDEB968AE5,IBITINGA,SP
99CD94252748D2BDDE08E17858233602,SAO PAULO,SP
698624C6632EEBA1774924DBEA24C700,SAO PAULO,SP
8BB48DC19FCCAA8613B6229BF7F452A2,ASSIS,SP
AD87DF7699E83B8A91822A4A0B765C3A,JAGUARIUNA,SP
D6B664FA0667064C6D76394E7848D790,ARARAQUARA,SP
98F52E1020FE788C10C0418DE4393FEC,MACAE,RJ
62760D278921B5F352461620D68A9CEE,SALTO,SP
EB72802C83DC7547529C9546D1A9B8EF,RIO CLARO,SP
3F9BE91358837BFF69DF67EDFA3E42E8,LONDRINA,PR
1D4587203296C8F4AD134DC286FA6DB0,SAO PAULO,SP
